 2015-10-24 09:07:27,588 [P16040/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.0 application starting on PC-SERVIS-KOUR
 2015-10-24 09:07:27,771 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2015-10-24 09:07:27,805 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 32ms)
 2015-10-24 09:07:28,639 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2015-10-24 09:07:30,091 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1451ms)
 2015-10-24 09:07:30,124 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2015-10-24 09:07:30,163 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 38ms)
 2015-10-24 09:07:30,164 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2015-10-24 09:07:30,206 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 42ms)
 2015-10-24 09:07:30,260 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2015-10-24 09:07:30,300 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 40ms)
 2015-10-24 09:07:30,302 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2015-10-24 09:07:30,342 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 40ms)
 2015-10-24 09:07:30,680 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2015-10-24 09:07:30,721 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 40ms)
 2015-10-24 09:07:30,723 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2015-10-24 09:07:30,761 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 38ms)
 2015-10-24 09:07:33,389 [P16040/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-24 09:07:34,498 [P16040/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-24 09:07:34,509 [P16040/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-24 09:07:34,612 [P16040/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will rebuild its caches and indexes and then adjust it's last synced id to the latest found in the database and will start maintaining cache updates based on that id
 2015-10-24 09:07:34,744 [P16040/D2/T1] INFO  umbraco.content - Load Xml from file...
 2015-10-24 09:07:34,819 [P16040/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2015-10-24 09:07:34,935 [P16040/D2/T1] INFO  umbraco.content - Loading content from database...
 2015-10-24 09:07:41,721 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2015-10-24 09:07:41,781 [P16040/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 59ms)
 2015-10-24 09:07:44,647 [P16040/D2/T14] INFO  umbraco.content - Save Xml to file...
 2015-10-24 09:07:44,927 [P16040/D2/T8] INFO  umbraco.content - Saved Xml to file.
 2015-10-24 09:07:47,031 [P16040/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2015-10-24 09:07:47,171 [P16040/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2015-10-24 09:07:47,173 [P16040/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2015-10-24 09:07:47,459 [P16040/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 20284ms)
 2015-10-24 09:07:52,015 [P16040/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:53628/umbraco (UmbracoModule request)
 2015-10-24 09:07:53,685 [P16040/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2015-10-24 09:07:53,721 [P16040/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 35ms)
 2015-10-24 09:08:24,891 [P16040/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2015-10-24 09:08:24,930 [P16040/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 39ms)
